"","Place","Name","Grade","School","Prelims_Time","Finals_Time","Points","Exhibition","DQ","Event","State","Division"
"1270",12,NA,NA,"Dover","3:17.73","3:19.05",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1271",13,NA,NA,"Bryan","3:19.26","3:19.34",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1272",14,NA,NA,"Granville","3:19.10","3:19.93",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1273",15,NA,NA,"Wauseon","3:20.09","3:20.10",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1274",16,NA,NA,"Alliance","3:21.51","3:20.55",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1275",17,NA,NA,"Middletown Bishop Fenwick","3:20.76","3:21.09",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1276",18,NA,NA,"Napoleon","3:20.47","3:21.27",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1277",19,NA,NA,"Beachwood","3:21.59","3:21.42",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1278",20,NA,NA,"Waynesville","3:22.80","3:22.91",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1279",21,NA,NA,"Chardon","3:22.42","3:23.02",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1280",22,NA,NA,"Ashland","3:21.94","3:23.56",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1281",23,NA,NA,"Sandusky","3:22.55","3:24.47",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1282",24,NA,NA,"Port Clinton","3:21.60","3:25.23",NA,0,0,"Boys 400 Yard Freestyle Relay","OH"," Division 2"
"1283",1,"Olivia Lynch",NA,"Powell Olentangy Liberty","181.80","428.55",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1284",2,"Sarah Krusinski",NA,"Cincinnati Mount Notre Dame","182.85","398.65",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1285",3,"Madeline Lutzko",NA,"Medina Highland","170.40","388.05",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1286",4,"Mallory Hanna",NA,"Cincinnati Ursuline Academy","187.85","377.75",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1287",5,"Riley Bullock",NA,"Loveland","159.80","376.50",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1288",6,"Julia Fidanza",NA,"Upper Arlington","171.80","376.40",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1289",7,"Grace Ellis",NA,"Whitehouse Anthony Wayne","158.05","374.30",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1290",8,"Amanda Socha",NA,"Avon","168.15","374.00",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1291",9,"Langley Petersen",NA,"Mason","155.05","358.25",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1292",10,"Tara Fitzgerald",NA,"Solon","153.25","354.95",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1293",11,"Marissa Kurinsky",NA,"Canton McKinley","160.85","344.50",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1294",12,"Ali Asbury",NA,"Cincinnati Turpin","159.55","344.05",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1295",13,"Emma Skinner",NA,"New Albany","163.85","340.95",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1296",14,"Abby Wilkov",NA,"Solon","168.20","336.30",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1297",15,"Taylor Peterson",NA,"Green","160.65","335.40",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1298",16,"Erica Ebel",NA,"Normandy","169.30","319.15",NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1299",17,"Clara Dearden",NA,"Cincinnati Walnut Hills","158.95",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1300",18,"Maria Meinhardt",NA,"Cincinnati St. Ursula","151.45",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1301",19,"Maggie Micko",NA,"Strongsville","157.90",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1302",20,"Alex Ludgate",NA,"Solon","156.80",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1303",21,"Karina Ashton",NA,"Mason","147.90",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1304",22,"Bethany Mercer",NA,"Solon","138.20",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1305",23,"Alexa Walkovich",NA,"Sylvania Southview","131.10",NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1306",24,"Ashleigh Provan",NA,"Gahanna Lincoln",NA,NA,NA,NA,NA,"Girls 1 mtr Diving","OH",NA
"1307",1,"Noah Duperre",NA,"New Albany","255.40","582.85",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1308",2,"Jackson Salisbury",NA,"Solon","205.10","451.50",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1309",3,"Hayden Apel",NA,"Hilliard Darby","182.80","414.85",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1310",4,"Sam Sulek",NA,"Delaware Hayes","204.10","414.05",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1311",5,"Anthony Scuilli",NA,"Powell Olentangy Liberty","183.00","410.75",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1312",6,"Samuel Hool",NA,"Talawanda","177.80","401.00",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1313",7,"Patrick Burke",NA,"Solon","168.95","380.10",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1314",8,"Josh Schwartz",NA,"Solon","185.75","378.70",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1315",9,"Michael Slaughter",NA,"Avon Lake","174.00","375.10",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1316",10,"Zach Schering",NA,"Massillon Jackson","170.20","370.15",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1317",11,"Owen Recker",NA,"Perrysburg","187.45","362.90",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1318",12,"Gavin Osterday",NA,"Cincinnati Archbishop Moeller","174.35","356.85",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1319",13,"George Peuhl",NA,"Sylvania Northview","185.00","353.30",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1320",14,"Luke Faulisi",NA,"Euclid","176.95","347.15",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1321",15,"Ben Cutforth",NA,"Cincinnati St. Xavier","148.30","335.40",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1322",16,"Eli Humeniuk",NA,"Sylvania Northview","174.00","333.00",NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1323",17,"Preston Landolt",NA,"Cincinnati Sycamore","139.90",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1324",18,"Ethan Belak",NA,"Amherst Steele High School","139.25",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1325",19,"William Behimer Cincinnati St. Xavier",NA,"143.45","218.00",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1326",20,"Ethan Moore",NA,"Cincinnati Walnut Hills","145.65",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1327",21,"Micheal Boothman",NA,"Powell Olentangy Liberty","136.75",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1328",22,"Hunter Trautmann",NA,"Hudson","132.50",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1329",23,"Mark Sulek",NA,"Delaware Hayes","132.45",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
"1330",24,"Will Claus",NA,"Cleveland St. Ignatius","60.40",NA,NA,NA,NA,"Boys 1 mtr Diving","OH",NA
