Distance,Stroke,Year,NYS_Cut,AAC_Cut,AA_Cut,Sex
200,MR,2004,01:54.5,01:53.1,01:49.7,F
200,Free,2004,01:59.8,01:54.4,01:51.8,F
200,IM,2004,02:15.9,02:06.1,02:09.2,F
50,Free,2004,25.5,24.49,23.97,F
,11 Dives,2004,,,,F
100,Fly,2004,01:01.4,58.39,57.14,F
100,Free,2004,55.3,52.93,51.91,F
500,Free,2004,05:22.5,05:05.3,04:58.1,F
200,FR,2004,01:42.3,01:41.2,01:38.8,F
100,Back,2004,01:02.5,59.58,57.89,F
100,Breast,2004,01:10.3,01:07.2,01:05.6,F
400,FR,2004,03:45.0,03:40.5,03:34.8,F
200,MR,2003,,,,F
200,Free,2003,,,,F
200,IM,2003,,,,F
50,Free,2003,,,,F
,11 Dives,2003,,,,F
100,Fly,2003,,,,F
100,Free,2003,,,,F
500,Free,2003,,,,F
200,FR,2003,,,,F
100,Back,2003,,,,F
100,Breast,2003,,,,F
400,FR,2003,,,,F
200,MR,2002,,,,F
200,Free,2002,,,,F
200,IM,2002,,,,F
50,Free,2002,,,,F
,11 Dives,2002,,,,F
100,Fly,2002,,,,F
100,Free,2002,,,,F
500,Free,2002,,,,F
200,FR,2002,,,,F
100,Back,2002,,,,F
100,Breast,2002,,,,F
400,FR,2002,,,,F
200,MR,2001,,,,F
200,Free,2001,,,,F
200,IM,2001,,,,F
50,Free,2001,,,,F
,11 Dives,2001,,,,F
100,Fly,2001,,,,F
100,Free,2001,,,,F
500,Free,2001,,,,F
200,FR,2001,,,,F
100,Back,2001,,,,F
100,Breast,2001,,,,F
400,FR,2001,,,,F
